"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N"
"1400000US48201241502","Census Tract 2415.02, Harris County, Texas","2349","2017","237","1310","23","32","26","389","332","317","4","8","3","0","263","6","0","0","25","0","0","1","4","1","2","12","4","0","0","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0"
"1400000US48201241503","Census Tract 2415.03, Harris County, Texas","2720","2325","381","635","22","44","2","1241","395","383","8","4","5","0","354","1","0","0","5","0","1","5","0","0","0","12","1","0","0","0","0","0","8","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201250101","Census Tract 2501.01, Harris County, Texas","4361","3474","1300","1187","53","104","24","806","887","852","14","20","19","4","740","10","2","0","22","1","0","19","0","1","0","35","14","0","0","7","0","0","13","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201250102","Census Tract 2501.02, Harris County, Texas","5569","4510","1142","1530","87","115","38","1598","1059","1007","37","27","4","4","850","7","8","0","35","2","0","25","4","4","0","49","3","1","0","9","1","0","24","8","0","0","0","0","3","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201250201","Census Tract 2502.01, Harris County, Texas","8046","6173","1443","2761","147","166","32","1624","1873","1813","62","32","10","2","1630","7","1","6","32","0","0","21","4","4","2","56","4","0","1","4","1","1","42","0","3","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201250202","Census Tract 2502.02, Harris County, Texas","2205","1828","376","818","41","27","88","478","377","356","15","23","13","2","282","2","0","0","6","2","0","4","4","3","0","21","2","0","0","2","0","0","16","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201250303","Census Tract 2503.03, Harris County, Texas","3360","2957","554","1873","34","190","2","304","403","383","19","10","18","2","277","11","6","2","17","0","0","15","0","6","0","15","1","0","0","0","1","0","11","0","2","0","0","0","0","0","0","0","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201250304","Census Tract 2503.04, Harris County, Texas","9244","8143","2320","3599","99","175","34","1916","1101","1070","81","29","18","5","852","17","4","0","51","0","0","7","0","6","0","31","10","0","0","7","1","2","10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201250305","Census Tract 2503.05, Harris County, Texas","6059","5017","2120","1849","58","119","17","854","1042","995","71","36","14","1","797","8","5","3","50","1","0","5","0","4","0","45","9","1","0","12","0","0","13","0","3","2","1","0","1","0","0","1","0","2","0","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US48201250306","Census Tract 2503.06, Harris County, Texas","4666","3890","1154","1801","33","237","1","664","776","741","62","16","16","5","574","16","0","12","28","1","0","9","1","1","0","35","13","1","0","8","1","0","3","1","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
